Cancer site,Diagnoses registered in 2019,Diagnoses registered in 2021,Change in the number of diagnoses registered,Proportionate change in the number of diagnoses registered (%)
Breast,48046,49423,1377,3
Lung,19248,19323,75,0
Bowel,16742,18308,1566,9
Uterus,8188,8567,379,5
Melanoma of skin,7479,7783,304,4
Ovary,6585,6673,88,1
Non-Hodgkin lymphoma,5155,4948,-207,-4
Pancreas,4525,4858,333,7
Kidney,3747,3595,-152,-4
Leukaemia,3421,3282,-139,-4
"Lip, oral cavity and pharynx",2828,3059,231,8
Secondary malignant neoplasm,2601,2509,-92,-4
Cervix,2735,2760,25,1
Bladder,2427,2543,116,5
Thyroid,2539,2528,-11,0
Oesophagus,2373,2342,-31,-1
Myeloma,2337,2211,-126,-5
Liver,2024,1928,-96,-5
Brain,1901,1826,-75,-4
Stomach,1967,1933,-34,-2
Hodgkin lymphoma,810,782,-28,-3
Mesothelioma,404,438,34,8
All other malignant cancers,9493,10128,635,7
